# id	npc_id	npc_level	affiliated_area_id	loc_x	loc_y	loc_z	raid_desc
1	29001	40	30	-21610	181594	-5734	
2	29006	50	1	17726	108915	-6480	
3	29014	50	67	55024	17368	-5412	
4	29066	79	16	185708	114298	-8221	
5	29067	79	16	185708	114298	-8221	
6	29068	79	16	185708	114298	-8221	
7	29020	75	97	114830	16247	10080	
8	29022	60	16	55312	219168	-3223	
9	29028	85	180	213896	-115436	-1644	
10	29047	80	180	174238	-89792	-5002	
11	25001	23	30	-54416	146480	-2887	"A soldier of the Convict Mercenaries, who were famous for their bravery during the Aden-Gracia War. Currently, he is the Commander of the Gracian Convict Mercenaries, the surviving remnants of the company left in Aden Kingdom. His soldiers are based in Gludio.  He waits for an opportunity to return to his country."
12	25004	30	30	-94208	100240	-3520	"The commander of the Turek Mercenaries. Prone to violent outbursts for no reason, he takes special joy in battling both Elves and Dark Elves. He has no care for personal appearance or common courtesies, and some claim he was touched by madness."
13	25007	42	97	124240	75376	-2800	"A wicked Spider that once lived in the Wastelands while Beleth was free. After Beleth was sealed away, the Spider was chased away by a colony of Ants, empowered by the magic of the Wastelands. The Spider was forced to retreat to this place, swearing that someday it will feed on the Ants and destroy them. It quietly grows in power while sharpening its fangs for vengeance."
14	25010	55	97	113920	52960	-3735	"A Treant who used to live south of Gludio that loved trees and nature. After the war with Beleth, his beautiful forest home was destroyed, and his friends were slain. Deeply affected by the traumatic loss he is now trapped in a haze of hatred, madness, and the desire for revenge. Gripped by his anger, he is still at war against all humans and mystics."
15	25013	50	97	169744	11920	-2732	"One of the leaders for the peasants who resisted the merciless rule of Lord Ashton. He was ultimately captured and brutally executed by Ashton's cruel soldiers, yet even that did not stop him. To overthrow Ashton, he made a contract with a devil and came back to life. But the devil's bargain turned his once noble ideals towards loathing, transforming him into a monster with the power of evil magic."
16	25016	60	121	76787	245775	-10376	"A mechanical golem owned by the Lord of Innadril Castle. The lord's family has been protected by Eva for generations. This golem was created by a dwarven master artisan to protect the Garden of Eva. It guards to fend off the Water Dragon Fafurion's troops, or invaders threatening the garden. The dwarven master made two other golems, but this third and final one was the strongest."
17	25019	25	1	7376	169376	-3600	"A Pan who was once a long-time friend of the Elves, and guarded the ancient Elven Forest. The Pans stayed neutral during the tragic war between the Elves and the Dark Elves until both sides turned against them. The other Pans retreated into hiding after suffering cruel attacks from both sides, but Pay Dryad still remains here waiting for the golden age of peace to return."
18	25020	34	16	90384	125568	-2128	"A highly-talented, peerless Orc Dark Mage. At one point, he was even called the hope of the Breka Orc tribe. But he fell victim to a conspiracy and was banished. He swore revenge upon those who banished him, and he is honing his strength, awaiting that day. He has the ability to summon a powerful servitor learned from the Dark Elves."
19	25023	34	1	27280	101744	-3696	"She is the Ruthless Queen of Marsh Stakatos, deep in the Cruma Marshlands. The Queen is notorious for mecilessness and cruelty to both her own forces and enemies alike. She has ordered death to any and all who oppose her, including subordinates and even her own children. The Queen yearns to build a kingdom for Marsh Stakatos someday."
20	25026	49	67	92976	7920	-3914	"He is the Commander of the advance forces for the powerful Ketra Orc tribe, who hail from the Goddard Territory of Elmore Kingdom. He believes completely in the superiority of his tribe and was dispatched to expand their influence upon Aden Kingdom. A formidable enemy, he greatly detests the Silenos as well as humans."
21	25029	53	16	54941	206705	-3728	"A powerful, mutant Monster Eye. Some scholars believe it has achieved the final stage of Monster Eye evolution as it is incredibly intelligent and arrogant. Years ago it ran away to the south from Argos, the father of all Monster Eyes. It thinks and schemes plotting to steal Argos' power someday. It believes that it grows stronger by eating the brains of other intelligent living beings, so it feeds often."
22	25032	58	121	88532	245798	-10376	"The loyal guardian who protects the Garden of Eva, the resting place of the goddess Eva. Many seasons have passed since Eva's last visit, but remains to protect the Garden against savages who might wish to despoil the holy goddess' resting place."
23	25035	70	97	180968	12035	-2720	"Reaper is the page of the Goddess of Death, Shilen. Reaper is in charge of collecting the countless souls who wander about on Earth, and bringing them to the underworld of Shilen. His loyalty to Shilen is absolute, and stays close to the Seal of Shilen in order to serve the goddess better. He diligently carries out his duty while waiting for the day of the goddess' resurrection."
24	25038	28	30	-57360	186272	-4967	"A servant to the Knight Barion, gained the body of a devil through the dark magic of the Devil Kernon. He has a growing anger towards General Karte and Karte's loyal officer, Barion. What he doesn't know is that this hatred is magical, inflamed by the schemes of the Devil Kernon."
25	25041	35	1	10416	126880	-3676	"The Lord of Marsh Stakatos is under the mental domination of the Devil Rahha. He strengthens the Stakato Army for Rahha, and is the bitter rival of Queen Jeruna of Marsh Stakatos, who lives in the Cruma Marshlands."
26	25044	47	97	107792	27728	-3488	"The Knight of Elmoreden, the Commander of the soldiers studying at the Tower of Insolence, under the orders of General Karte. As the right arm of General Karte, he is a brave knight willing to go to Hell if ordered, for he has an immortal body like the general. He received his secret powers from the Devil Rahha, who also warned him to watch Tirak closely."
27	25047	49	97	116352	27648	-3319	"A General of Elmoreden who obtained an immortal body through a pact with the Devil Kernon. Stubborn to a fault, he opposed the construction of the Tower of Insolence. His stance spared him of Einhasad's rage; however, he lost his king and country. He despises those who betrayed his king and built their own kingdom. As a loyal servant of the empire, he yearns for the day when he may once again find and serve his true king."
28	25050	51	97	125520	27216	-3632	"The Devil Kernon's confidant, he is a feisty and vicious devil. Overpowers his enemies with immense strength and gigantic body. Currently, he is studying the inside of the Tower of Insolence at Kernon's command. A simple devil warrior, he believes that if he serves his superiors loyally, he will benefit from their promotions."
29	25051	65	97	117760	-9072	-3264	"An assistant to the Death Lord Hallate, she is smart and beautiful. Currently, she works as Devil Kernon's servant in charge of the Tower of Insolence. Yet in secret she is Hallate's confidant and lover. She senses the Devil Kernon's schemes of betrayal, and thus quietly watches him."
30	25054	75	97	113230	16247	3960	"A servant of the Death Lord Hallate, he collects the secrets hidden in the Tower of Insolence. He aspires to take over Death Lord Hallate's position, for Hallate is exhausted from his conflicts with Baium. He has offered his services to General Karte of Elmoreden."
31	25057	45	121	107056	168176	-3456	"The pet of the brilliant mystic, Sartune of Elmoreden, who was imprisoned due to the jealousy and envy of his rivals. It lives up to Sartune's reputation as it is tremendously smart and playful to the point of cruelty. It causes havoc throughout the back roads through the actions of its many minions."
32	25060	24	30	-60428	188264	-4512	"A tragic lady transformed into a succubus through a Mystic's curse. She loved a prince from the Waltner family of Gludio, but was tricked into murdering him. Now she feeds on the energy of travellers in Gludio, delaying her death day by day."
33	25063	35	30	-91024	116304	-3466	"A Turek Orc leader praised for his powerful soul, bravery, and wisdom. He has retired from the field, and lives in a secluded corner of the Orc Barracks giving counsel to those who seek his advice. Normally reserved, when roused he does not shy away from battle."
34	25064	40	67	96891	93825	-3720	"The Lizardman mystic who rules over the Delu Lizardmen with his mighty insight and wisdom. He is said to have studied directly under Hardin. In his youth, he championed peace with the humans, but they were blindly hostile towards his peaceful efforts. He has grown angry over the years at the human stupidity, and has declared war on any and all intruders to his tribe's territory."
35	25067	52	67	94992	-23168	-2176	"The leader of the Red Flag of the Oel Mahum, who waits for his opportunity to take over the Bandit Stronghold. He is tremendously proud of being an Oel Mahum. Although smart, hearty and brave, he is still young and growing into his power. He boasts that one day he will build a kingdom for the Oel Mahums."
36	25070	55	97	125600	50100	-3600	"A Guardian Treant who protects the outskirts of the forest at the command of Fairy Queen Timiniel. He has no patience for intruders, and will never forgive anyone who violates the laws of the forest. With the power given to him by Queen Timiniel, he can summon sylphs and unicorns to aid in his protection of the Enchanted Valley."
37	25073	69	16	143265	110044	-3944	"A creature made from Antharas. From its creator, it received the task of guarding the dragon's dungeon. It removes invaders who try to awaken the land dragon from its deep sleep. It is called the Bloody Priest Rudelto because its body is stained with the blood of the invaders that it has ""removed"". "
38	25076	25	30	-60976	127552	-2960	"An unfortunate princess who was turned into a giant toad by the curse of the evil mage Vijay. Princess Molrang was the daughter of the Unification King, Raoul. Her beauty was famed throughout the kingdom. The stories say that the Dark Mage Vijay cursed her because she refused his love."
39	25079	30	1	53712	102656	-1072	"The leader of the most famous bandits in Gludio. Some say that he has been trying to steal the heart of beautiful Poesia ever since he declared he would steal the most beautiful, immortal, and valuable object in the world."
40	25082	39	16	88512	140576	-3483	"The leader of a gang of cats, all being pets long abandoned by their masters. They are known for snatching fresh fish from the very nets of the Fishermen, and the Fish Traders' Association has offered a great bounty for them. Many hunters have tried to catch the cats, but ultimately gave up their chase because the cats were too cute."
41	25085	44	67	66944	67504	-3704	"Taik Orc Chief Ranger who came down from the mountain to search for Bec, a deserter who killed his fellow soldier. Although he is treated as a ruffian and garbage for chasing after a deserter among his tribe, he takes pride in his work and considers himself as someone who does vital work for his tribe."
42	25088	43	67	90848	16368	-5296	"The mechanical golem that the Black Anvil Guild is desperately looking for. Being the most advanced golem design, it became animated and ran amok because the artisan accidentally installed a defective component. It partially destroyed the workshop, crushed many Dwarven Artisans who tried to restrain it, and escaped the town. It wanders the woods aimlessly, and attacks anyone who comes nearby."
43	25089	59	97	165424	93776	-2992	"A wild boar that had its soul stolen by an evil mystic's experiment, transforming the beast into a killing machine. It eventually killed the mystic, but this didn't give it peace. It searches for a powerful entity that can finally bring its soul rest."
44	25092	70	97	114830	17847	1944	"The banished leader of Heltor Silenos. A fanatical follower of Baium, he believes that Baium must be resurrected then he will be able to wipe out all other tribes throughout the continent. Alone in his belief, he and his minions search the Tower of Insolence for a way to resurrect Baium."
45	25095	29	30	-37856	198128	-2672	"The ghost of an Elf who loved the forest, and vowed to protect nature and her animals from senseless war. The Elf was eventually slain while performing his duty, and returned as a ghost. He is aided and protected by a herd of wild boar that are loyal to him. He is wary of strangers who might bring war to the forest."
46	25098	35	16	123536	133504	-3584	"A servant of Summoner Sejarr dispatched from the Ivory Tower to block the Devil Beleth. Sejarr used dark magic to imprison Beleth, but was killed by the devil's reflexive powers. Phantom alone survived of Sejarr's servitors, but was corrupted by the dark magic of Beleth and the Ivory Tower reconciled with the Wasteland. Because he thinks his owner's death was unjust, he distrusts other mystics."
47	25099	44	67	64048	16048	-3536	"A monster plant that has grown by absorbing the poison in the Sea of Spores. A follower of Orfen, the Ruler of the Sea of Spores, it was given a task by Orfen to kill trespassing humans. Ivory Tower mystics are sent to tend the magic force field that prevents spores from spreading, but many have been slain by the Rotting Tree."
48	25102	45	97	113840	84256	-2480	"A Silenos who was a victim of an experiment gone awry, conducted by the Ivory Tower's mystics. Shacram gained supernatural power, but his appearance was so disfigured that he could not return to his tribe. He moved to Oren where he hides in a deserted valley in the south where rugged mountain paths discourage most from ever setting foot in the region. He harbors a deep hatred towards the mystics of the Ivory Tower who made him like this."
49	25103	55	97	135872	94592	-3735	"A powerful sorcerer who is greatly respected by the Lizardmen currently hiding in a distant corner of the plains. He resents how humans continue to encroach upon the Lizardmen's territory, where Lizardmen have lived in peace since ancient times."
