# id	name
0	Sélectionnez la race et l'occupation.
1	"""Même si mon coeur cessait de battre, ma lame et mon honneur vivraient pour toujour!"" Les guerriers possèdent une force et une dextérité supérieure. Ils se targuent d'être les plus compétents dans le combat au corps-à-corps, utilisant principalement des épées et d'autres armes manuelles. Mais ils peuvent aussi choisir de se spécialiser dans les attaques à distance en devenant archer, plus tard dans leur carrière. Si vous voulez des combats féroces et un mode de vie brutal et ravageur, soit par l'épée soit par les flèches, choisissez la voie du guerrier."	
2	"""Brûlez, étincellez, mes féroces flammes blanches. Illuminez l'obscurité et détruisez ceux qui osent nous attaquer."" Les magiciens suivent le chemin de la sorcellerie et peuvent invoquer des créatures magiques, guérir de graves blessures, lancer de puissants sorts d'attaque et créer d'autres merveilleux miracles grâce à leur étude de la magie. Choisissez la voie du magicien si vous préférez exploiter les puissantes forces élémentaires avec la puissance de votre intelligence, plutôt que de combattre par feintes avec votre acier maladroit."	
3	"""Ma lâme chante comme le vent et te transportera dans un lieu de paix éternelle, où les eaux limpides se jettent dans le grand océan."" Délicats, élancés et gracieux, les guerriers elfes sont d'habiles combattants qui possèdent une précise et mortelle maîtrise des épées. La simple vue d'eux brandissant comme des fouets leurs longues et minces épées a conduit certains chercheurs à appeler cela la ""belle danse."""	
4	"""Esprits, je cherche l'aide qui fut promis, forgé dans le pacte de notre amitié, solennellement prêté en l'année de ma naissance!"" La magie coule profondément dans le sang des elfes, et en tant que tel, les magiciens elfes sont peut-être les plus puissants des sorciers dans le monde d'Aden. Ils mettent l'accent sur la force de leur esprit, peut-être au détriment de leur constitution, et peuvent donc être faibles en combat physique. Pourtant, leur maîtrise de la force élémentaire font qu'ils sont de redoutables adversaires."	
5	"""Silence. Pourquoi se perdre en paroles vaines? Il n'y a pas besoin de stratégie, juste terrasser l'ennemi sans dire un mot."" Les guerriers elfes noirs sont des guerriers dangereux au corps-à-corps qui se reposent sur leur vitesse et leur agilité pour se donner un avantage dans la bataille. Le fait de baisser sa garde en leur faisant face peut causer une mort rapide et pénible dûe à leurs lames froides et brillantes."	
6	"""J'appelle les énergies terrifiantes de Gran Kain afin d'anéantir mes ennemis et effacer leurs noms de la face du monde!"" Les magiciens elfes noirs sont tristement célèbres pour leur capacité à utiliser la magie noire. Ils prennent plaisir à utiliser leurs puissants sorts d'attaque pouvant frapper un ennemi avec un seul mot. Certains disent que leurs capacités magiques innées dépassent même celles des elfes."	
7	"""Comment oses-tu imbécile me bloquer le chemin?! Penses-tu vraiment que vos corps chétifs et ces bouts de métal fragile résisteront à mon attaque?"" Nul ne peut égaler la puissance d'un guerrier orc quand il s'agit de la force physique pure. Avec leur endurance infatigable et leur entêtement incroyable, ils sont une présence effrayante sur le champ de bataille auquel personne ne veut faire face."	
8	"""Au nom du feu éternel, que nos ennemis soient brûlés, bouillis et grillés! Ecorchés sans merci avec les flammes et chassés de notre chemin!" Loin de la ligne de front, les mages orcs ont toujours jeté leurs sorts de l'ombre. Leur utilisation de la magie sinistre leur a donné une énorme influence politique au sein de la société orc. Même s'ils sont physiquement plus résistants que les mages des autres races, la plupart estime que leurs effets magiques sont plus faibles."	
9	"""Je me battrais quand je devrais. Laisse-moi regarder cette épée. Hmm. Bon équilibre, beau travail. Ecoute, va me chercher un verre et laisse-moi te raconter l'histoire de cette fine lame."" Les guerriers nains sont de bons combattants solides, mais ils sont plus renommés pour la qualité de leur artisanat, leur habilité de récupération et leurs compétences de commerce. Les nains travaillent sans relâche pour créer des objets merveilleux, et sont attachés à gagner une réputation comme les plus grand commerçants du royaume."	
10	"""Ma gageure n'est pas le nombre de mes victoires, ni la puissance par laquelle j'ai écrasé mes ennemis... c'est la lame tranchante comme un rasoir de mon épée."" Les soldats kamaels sont des guerriers qui se battent en utilisant à la fois l'épée et la magie. Si vous voulez jouer un personnage mâle, choisissez le Berserker, dont le caractère explosif complète sa puissance brute. Si vous préférez des mouvements rapides et des attaques puissantes, choisissez un soldat kamael masculin!"	
11	"""Dans le champ de bataille rempli de sang et de mort, mon aile noble vous purifiera tous."" Les soldats kamaels sont des guerriers qui se battent en utilisant à la fois l'épée et la magie. Les personnages féminins peuvent choisir de devenir Arbalester, qui chasse à l'aide des pièges et de la tromperie. Si vous voulez être un joueur d'équipe de valeur, avec des mouvements élégants, choisissez un soldat kamael féminin!"	
